Cocktail Name,Ingredients,Preparation,Image
Texas Rattlesnake,"Sweet and sour, Southern Comfort, Cherry brandy, Yukon Jack, ","Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",https://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg
Tommy's Margarita,"Agave syrup, Lime Juice, Tequila, ",Shake and strain into a chilled cocktail glass.,https://www.thecocktaildb.com/images/media/drink/loezxn1504373874.jpg
Victor,"Brandy, Sweet Vermouth, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg
Vesper,"Lillet Blanc, Vodka, Gin, ","Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel.",https://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg
Vesuvio,"Egg white, Powdered sugar, Lemon, Sweet Vermouth, Light rum, ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg
Veteran,"Cherry brandy, Dark rum, ",Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg
Vampiro,"Salt, Sugar Syrup, Lime Juice, Orange Juice, Tomato Juice, Tequila, ","Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",https://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg
Van Vleet,"Lemon juice, Maple syrup, Light rum, ","Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg
Vodka Fizz,"Nutmeg, Ice, Limeade, Half-and-half, Vodka, ","Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",https://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg
Vodka Martini,"Olive, Dry Vermouth, Vodka, ","Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",https://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg
Vodka Russian,"Schweppes Russchian, Vodka, ",Mix it as a ordinary drink .,https://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg
Vermouth Cassis,"Carbonated water, Creme de Cassis, Dry Vermouth, ","Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",https://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg
Victory Collins,"Orange, Powdered sugar, Grape juice, Lemon juice, Vodka, ",Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,https://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg
Vodka And Tonic,"Tonic water, Vodka, ","Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg
Valencia Cocktail,"Orange bitters, Orange juice, Apricot brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg
Whisky Mac,"Wine, Scotch, ",Pour both of the ingredients into a wine goblet with no ice.,https://www.thecocktaildb.com/images/media/drink/yvvwys1461867858.jpg
Wine Punch,"Pineapple juice, Orange, Orange juice, Lemon, Red wine, ",Combine all of the ingredients and pour over a block of ice.,https://www.thecocktaildb.com/images/media/drink/txustu1473344310.jpg
White Lady,"Lemon Juice, Triple Sec, Gin, ",Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,https://www.thecocktaildb.com/images/media/drink/jofsaz1504352991.jpg
Whiskey Sour,"Lemon, Cherry, Powdered sugar, Lemon, Blended whiskey, ","Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg
White Russian,"Light cream, Coffee liqueur, Vodka, ",Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,https://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg
Whitecap Margarita,"Lime juice, Cream of coconut, Tequila, Ice, ",Place all ingredients in a blender and blend until smooth. This makes one drink.,https://www.thecocktaildb.com/images/media/drink/srpxxp1441209622.jpg
White Wine Sangria,"Soda Water, Apple Brandy, Apple, Strawberries, White Wine, lemon, Lime, ","Chop the Lemon, Lime and other fruits into large chunks. Fill the Pitcher with the white wine and mix in the Apple Brandy. Top to taste with soda water.",https://www.thecocktaildb.com/images/media/drink/hnuod91587851576.jpg
Waikiki Beachcomber,"Pineapple juice, Gin, Triple sec, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ysuqus1441208583.jpg
Yellow Bird,"Lime Juice, Triple Sec, Galliano, White Rum, ",Shake and strain into a chilled cocktail glass,https://www.thecocktaildb.com/images/media/drink/2t9r6w1504374811.jpg
Zorro,"White Creme de Menthe, Baileys irish cream, Sambuca, ",add all and pour black coffee and add whipped cream on top.,https://www.thecocktaildb.com/images/media/drink/kvvd4z1485621283.jpg
Zinger,"Surge, Peachtree schnapps, ",Get a shot glass and pour in three shots of the schnapps. Do the same with the Surge Cola. Then down it like Scheetz would.,https://www.thecocktaildb.com/images/media/drink/iixv4l1485620014.jpg
Zoksel,"Lemon, Creme de Cassis, 7-Up, Coca-Cola, Lemonade, Root beer, Beer, ","No specific mixinginstructions, just poor every ingredient in one glass. The lemon goes with it.",https://www.thecocktaildb.com/images/media/drink/ft8ed01485620930.jpg
Zombie,"Angostura Bitters, Lime Juice, Grenadine, Pernod, 151 proof rum, Gold rum, Rum, ","
Blend at high speed for no more than 5 seconds.

Pour into a glass, add ice cubes to fill, then add the garnish.

*Donn’s mix: Bring 3 crushed cinnamon sticks, 1 cup of sugar and 1 cup of water to a boil, stirring until the sugar is dissolved.

Simmer for 2 minutes, then remove from the heat and let sit for at least 2 hours before straining into a clean glass bottle.

Then add 1 part of the syrup and 2 parts of fresh grapefruit juice together.",https://www.thecocktaildb.com/images/media/drink/2en3jk1509557725.jpg
Zambeer,"Ice, Root beer, Sambuca, ",Mix sambuca with rootbeer and stir. Add ice,https://www.thecocktaildb.com/images/media/drink/bje5401485619578.jpg
Zorbatini,"Ouzo, Vodka, ",Prepare like a Martini. Garnish with a green olive.,https://www.thecocktaildb.com/images/media/drink/wtkqgb1485621155.jpg
Zenmeister,"Root beer, Jägermeister, ",Mix together and enjoy,https://www.thecocktaildb.com/images/media/drink/qyuvsu1479209462.jpg
Zipperhead,"Soda water, Vodka, Chambord raspberry liqueur, ","Fill glass with rocks, add straw before putting in liquor. Then add the ingredients in order, trying to keep layered as much as possible (i.e. Chambord on bottom, then Vodka, Then soda on top).",https://www.thecocktaildb.com/images/media/drink/r2qzhu1485620235.jpg
Zima Blaster,"Chambord raspberry liqueur, Zima, ","Fill glass with ice. Pour in Chambord, then fill with Zima. Mix and enjoy.",https://www.thecocktaildb.com/images/media/drink/1wifuv1485619797.jpg
